Number of nodes,Activation,Batch type,Learning rate,Iterations,Train,Dev,Train time
1,tanh,one batch,1.2,100,85.69,87.5,0.02151012420654297
1,tanh,one batch,1.2,1000,85.38,87.25,0.20701861381530762
1,tanh,one batch,1.2,10000,85.38,87.25,2.0669000148773193
1,tanh,one batch,1.2,100000,85.38,87.25,20.51584482192993
1,tanh,one batch,0.6,100,85.62,87.5,0.021030426025390625
1,tanh,one batch,0.6,1000,85.62,87.25,0.20326614379882812
1,tanh,one batch,0.6,10000,85.25,87.75,2.026761293411255
1,tanh,one batch,0.6,100000,85.25,87.75,20.325764179229736
1,tanh,one batch,0.1,100,77.88,78.25,0.020032644271850586
1,tanh,one batch,0.1,1000,85.69,87.5,0.21222400665283203
1,tanh,one batch,0.1,10000,85.62,87.25,2.024162530899048
1,tanh,one batch,0.1,100000,85.62,87.25,20.26065158843994
1,tanh,one batch,0.01,100,50.62,47.5,0.02060246467590332
1,tanh,one batch,0.01,1000,78.12,78.25,0.19726181030273438
1,tanh,one batch,0.01,10000,85.69,87.5,1.9865994453430176
1,tanh,one batch,0.01,100000,85.62,87.25,21.41723871231079
1,tanh,one batch,0.001,100,50.62,47.5,0.022998571395874023
1,tanh,one batch,0.001,1000,50.62,47.5,0.202195405960083
1,tanh,one batch,0.001,10000,78.0,78.5,2.0657896995544434
1,tanh,one batch,0.001,100000,85.69,87.5,21.292911529541016
1,sigmoid,one batch,1.2,100,83.94,85.5,0.012509346008300781
1,sigmoid,one batch,1.2,1000,85.75,87.5,0.12415623664855957
1,sigmoid,one batch,1.2,10000,85.06,87.5,1.2554950714111328
1,sigmoid,one batch,1.2,100000,85.06,87.25,12.841545343399048
1,sigmoid,one batch,0.6,100,78.56,77.5,0.01250314712524414
1,sigmoid,one batch,0.6,1000,85.94,87.75,0.11557579040527344
1,sigmoid,one batch,0.6,10000,85.69,87.25,1.1681573390960693
1,sigmoid,one batch,0.6,100000,85.81,87.25,11.687726497650146
1,sigmoid,one batch,0.1,100,50.62,47.5,0.012000083923339844
1,sigmoid,one batch,0.1,1000,82.5,84.0,0.11361074447631836
1,sigmoid,one batch,0.1,10000,85.81,87.5,1.1558523178100586
1,sigmoid,one batch,0.1,100000,85.62,87.25,11.67354440689087
1,sigmoid,one batch,0.01,100,50.62,47.5,0.011034011840820312
1,sigmoid,one batch,0.01,1000,50.62,47.5,0.11259317398071289
1,sigmoid,one batch,0.01,10000,82.56,83.75,1.1250460147857666
1,sigmoid,one batch,0.01,100000,85.81,87.5,11.598220825195312
1,sigmoid,one batch,0.001,100,49.38,52.5,0.012000083923339844
1,sigmoid,one batch,0.001,1000,50.62,47.5,0.12851977348327637
1,sigmoid,one batch,0.001,10000,50.62,47.5,1.2115325927734375
1,sigmoid,one batch,0.001,100000,82.56,83.75,11.438947916030884
1,relu,one batch,1.2,100,85.56,87.75,0.012506484985351562
1,relu,one batch,1.2,1000,85.62,87.75,0.12249875068664551
1,relu,one batch,1.2,10000,85.62,87.75,1.3435659408569336
1,relu,one batch,1.2,100000,85.62,87.75,12.138314962387085
1,relu,one batch,0.6,100,85.31,87.75,0.017995595932006836
1,relu,one batch,0.6,1000,85.56,87.75,0.12833666801452637
1,relu,one batch,0.6,10000,85.62,87.75,1.235802412033081
1,relu,one batch,0.6,100000,85.62,87.75,11.52578592300415
1,relu,one batch,0.1,100,51.19,48.0,0.01299905776977539
1,relu,one batch,0.1,1000,85.5,87.75,0.13678765296936035
1,relu,one batch,0.1,10000,85.62,87.75,1.2475686073303223
1,relu,one batch,0.1,100000,85.62,87.75,11.65019154548645
1,relu,one batch,0.01,100,50.62,47.5,0.013009071350097656
1,relu,one batch,0.01,1000,52.19,49.25,0.12164688110351562
1,relu,one batch,0.01,10000,85.5,87.75,1.2313930988311768
1,relu,one batch,0.01,100000,85.62,87.75,11.950392246246338
1,relu,one batch,0.001,100,50.62,47.5,0.015004873275756836
1,relu,one batch,0.001,1000,50.62,47.5,0.14303231239318848
1,relu,one batch,0.001,10000,52.19,49.5,1.2577805519104004
1,relu,one batch,0.001,100000,85.5,87.75,12.757963418960571
2,tanh,one batch,1.2,100,85.62,87.5,0.032030582427978516
2,tanh,one batch,1.2,1000,85.75,87.5,0.34873175621032715
2,tanh,one batch,1.2,10000,86.5,87.0,3.3665692806243896
2,tanh,one batch,1.2,100000,86.69,86.75,32.331581354141235
2,tanh,one batch,0.6,100,85.62,87.5,0.03303217887878418
2,tanh,one batch,0.6,1000,85.69,87.25,0.3233311176300049
2,tanh,one batch,0.6,10000,85.94,87.25,3.234443187713623
2,tanh,one batch,0.6,100000,87.81,87.0,32.92481088638306
2,tanh,one batch,0.1,100,79.25,80.75,0.04063081741333008
2,tanh,one batch,0.1,1000,85.62,87.5,0.3267097473144531
2,tanh,one batch,0.1,10000,85.69,87.25,3.393413782119751
2,tanh,one batch,0.1,100000,87.81,87.5,32.31974768638611
2,tanh,one batch,0.01,100,50.62,47.5,0.032030582427978516
2,tanh,one batch,0.01,1000,79.5,81.25,0.31239748001098633
2,tanh,one batch,0.01,10000,85.62,87.5,3.1951260566711426
2,tanh,one batch,0.01,100000,85.69,87.25,32.02029633522034
2,tanh,one batch,0.001,100,50.75,47.75,0.03203153610229492
2,tanh,one batch,0.001,1000,50.62,47.5,0.314739465713501
2,tanh,one batch,0.001,10000,79.44,81.25,3.138092517852783
2,tanh,one batch,0.001,100000,85.62,87.5,31.802410125732422
2,sigmoid,one batch,1.2,100,84.69,86.75,0.013994932174682617
2,sigmoid,one batch,1.2,1000,85.62,87.25,0.143294095993042
2,sigmoid,one batch,1.2,10000,85.69,87.5,1.4363365173339844
2,sigmoid,one batch,1.2,100000,87.31,87.25,14.44875431060791
2,sigmoid,one batch,0.6,100,79.94,81.75,0.015008211135864258
2,sigmoid,one batch,0.6,1000,85.69,87.25,0.14268231391906738
2,sigmoid,one batch,0.6,10000,85.81,87.25,1.4291367530822754
2,sigmoid,one batch,0.6,100000,87.81,88.0,14.410136222839355
2,sigmoid,one batch,0.1,100,50.62,47.5,0.014034509658813477
2,sigmoid,one batch,0.1,1000,83.94,85.75,0.1392049789428711
2,sigmoid,one batch,0.1,10000,85.62,87.25,1.4230115413665771
2,sigmoid,one batch,0.1,100000,85.75,87.25,14.386329412460327
2,sigmoid,one batch,0.01,100,50.62,47.5,0.01510000228881836
2,sigmoid,one batch,0.01,1000,50.62,47.5,0.1416466236114502
2,sigmoid,one batch,0.01,10000,83.94,85.75,1.3761775493621826
2,sigmoid,one batch,0.01,100000,85.62,87.25,14.200672626495361
2,sigmoid,one batch,0.001,100,49.38,52.5,0.015010356903076172
2,sigmoid,one batch,0.001,1000,50.62,47.5,0.1416187286376953
2,sigmoid,one batch,0.001,10000,50.62,47.5,1.3736755847930908
2,sigmoid,one batch,0.001,100000,83.94,85.75,13.797118425369263
2,relu,one batch,1.2,100,85.62,87.75,0.016031503677368164
2,relu,one batch,1.2,1000,85.62,87.75,0.13820815086364746
2,relu,one batch,1.2,10000,85.62,87.75,1.3424630165100098
2,relu,one batch,1.2,100000,85.56,87.75,13.328232765197754
2,relu,one batch,0.6,100,85.62,87.75,0.022997140884399414
2,relu,one batch,0.6,1000,85.62,87.75,0.14091229438781738
2,relu,one batch,0.6,10000,85.62,87.75,1.3319392204284668
2,relu,one batch,0.6,100000,85.62,87.75,13.503671646118164
2,relu,one batch,0.1,100,78.88,75.25,0.016043663024902344
2,relu,one batch,0.1,1000,85.62,87.75,0.1526486873626709
2,relu,one batch,0.1,10000,85.62,87.75,1.6001231670379639
2,relu,one batch,0.1,100000,85.62,87.75,13.774424076080322
2,relu,one batch,0.01,100,50.62,47.5,0.016999006271362305
2,relu,one batch,0.01,1000,79.5,75.0,0.16361474990844727
2,relu,one batch,0.01,10000,85.62,87.75,1.6501142978668213
2,relu,one batch,0.01,100000,85.62,87.75,15.076833963394165
2,relu,one batch,0.001,100,50.75,47.5,0.017032384872436523
2,relu,one batch,0.001,1000,50.62,47.5,0.16361021995544434
2,relu,one batch,0.001,10000,79.44,75.0,1.6456983089447021
2,relu,one batch,0.001,100000,85.62,87.75,16.78212857246399
3,tanh,one batch,1.2,100,85.69,87.5,0.04896688461303711
3,tanh,one batch,1.2,1000,94.88,94.25,0.48047900199890137
3,tanh,one batch,1.2,10000,95.19,93.75,4.498194456100464
3,tanh,one batch,1.2,100000,95.19,93.75,44.83732318878174
3,tanh,one batch,0.6,100,85.56,87.5,0.04704141616821289
3,tanh,one batch,0.6,1000,85.62,87.25,0.449735164642334
3,tanh,one batch,0.6,10000,95.12,94.25,4.527223587036133
3,tanh,one batch,0.6,100000,95.19,93.75,44.653748750686646
3,tanh,one batch,0.1,100,78.62,80.25,0.0430295467376709
3,tanh,one batch,0.1,1000,85.69,87.5,0.43920278549194336
3,tanh,one batch,0.1,10000,86.31,87.0,4.412004709243774
3,tanh,one batch,0.1,100000,95.12,93.75,45.4268217086792
3,tanh,one batch,0.01,100,50.62,47.5,0.05601644515991211
3,tanh,one batch,0.01,1000,78.75,80.25,0.4464590549468994
3,tanh,one batch,0.01,10000,85.69,87.5,4.311688184738159
3,tanh,one batch,0.01,100000,86.31,87.0,44.077375411987305
3,tanh,one batch,0.001,100,50.62,47.5,0.044542551040649414
3,tanh,one batch,0.001,1000,50.62,47.5,0.4284341335296631
3,tanh,one batch,0.001,10000,78.75,80.25,4.287770509719849
3,tanh,one batch,0.001,100000,85.69,87.5,44.381423473358154
3,sigmoid,one batch,1.2,100,84.62,86.25,0.016539573669433594
3,sigmoid,one batch,1.2,1000,85.69,87.25,0.16715669631958008
3,sigmoid,one batch,1.2,10000,95.19,94.0,1.6636066436767578
3,sigmoid,one batch,1.2,100000,95.06,93.75,17.765630960464478
3,sigmoid,one batch,0.6,100,79.56,80.5,0.020007610321044922
3,sigmoid,one batch,0.6,1000,85.69,87.25,0.17866063117980957
3,sigmoid,one batch,0.6,10000,95.19,94.0,1.6976830959320068
3,sigmoid,one batch,0.6,100000,95.06,94.0,16.735156774520874
3,sigmoid,one batch,0.1,100,50.62,47.5,0.017033100128173828
3,sigmoid,one batch,0.1,1000,83.5,85.5,0.15658044815063477
3,sigmoid,one batch,0.1,10000,85.69,87.25,1.6139979362487793
3,sigmoid,one batch,0.1,100000,95.19,94.0,16.336517333984375
3,sigmoid,one batch,0.01,100,50.62,47.5,0.02263951301574707
3,sigmoid,one batch,0.01,1000,50.62,47.5,0.1606125831604004
3,sigmoid,one batch,0.01,10000,83.5,85.75,1.566636085510254
3,sigmoid,one batch,0.01,100000,85.69,87.25,16.436681032180786
3,sigmoid,one batch,0.001,100,49.38,52.5,0.01603531837463379
3,sigmoid,one batch,0.001,1000,50.62,47.5,0.16079235076904297
3,sigmoid,one batch,0.001,10000,50.62,47.5,1.655336618423462
3,sigmoid,one batch,0.001,100000,83.5,85.75,16.045323371887207
3,relu,one batch,1.2,100,85.62,87.75,0.01799917221069336
3,relu,one batch,1.2,1000,85.62,87.75,0.1536850929260254
3,relu,one batch,1.2,10000,85.62,87.75,1.6053133010864258
3,relu,one batch,1.2,100000,85.56,87.75,15.007343053817749
3,relu,one batch,0.6,100,85.62,87.75,0.0190279483795166
3,relu,one batch,0.6,1000,85.62,87.75,0.16613554954528809
3,relu,one batch,0.6,10000,85.62,87.75,1.5001628398895264
3,relu,one batch,0.6,100000,85.62,87.75,14.845103979110718
3,relu,one batch,0.1,100,73.38,71.25,0.019031047821044922
3,relu,one batch,0.1,1000,85.69,87.75,0.17611956596374512
3,relu,one batch,0.1,10000,85.62,87.75,1.5404424667358398
3,relu,one batch,0.1,100000,85.62,87.75,14.835251331329346
3,relu,one batch,0.01,100,50.62,47.5,0.018069982528686523
3,relu,one batch,0.01,1000,74.94,72.25,0.18376970291137695
3,relu,one batch,0.01,10000,85.69,87.75,1.8065965175628662
3,relu,one batch,0.01,100000,85.62,87.75,15.479484796524048
3,relu,one batch,0.001,100,50.62,47.5,0.02103257179260254
3,relu,one batch,0.001,1000,50.62,47.5,0.18418002128601074
3,relu,one batch,0.001,10000,75.44,72.25,1.882596492767334
3,relu,one batch,0.001,100000,85.69,87.75,18.06382179260254
4,tanh,one batch,1.2,100,85.69,87.5,0.054035186767578125
4,tanh,one batch,1.2,1000,92.12,92.25,0.52797532081604
4,tanh,one batch,1.2,10000,95.06,93.75,5.4237658977508545
4,tanh,one batch,1.2,100000,95.0,94.0,54.0607373714447
4,tanh,one batch,0.6,100,85.56,87.5,0.053031206130981445
4,tanh,one batch,0.6,1000,85.56,87.25,0.529627799987793
4,tanh,one batch,0.6,10000,95.12,93.75,5.370766878128052
4,tanh,one batch,0.6,100000,95.0,93.25,54.856053829193115
4,tanh,one batch,0.1,100,78.88,80.75,0.05199742317199707
4,tanh,one batch,0.1,1000,85.69,87.5,0.5391464233398438
4,tanh,one batch,0.1,10000,85.62,87.25,5.304741859436035
4,tanh,one batch,0.1,100000,95.12,93.5,56.72832131385803
4,tanh,one batch,0.01,100,50.62,47.5,0.0570225715637207
4,tanh,one batch,0.01,1000,79.19,80.5,0.538238525390625
4,tanh,one batch,0.01,10000,85.69,87.5,5.716446876525879
4,tanh,one batch,0.01,100000,85.62,87.25,53.314817667007446
4,tanh,one batch,0.001,100,50.62,47.5,0.05107259750366211
4,tanh,one batch,0.001,1000,50.62,47.5,0.5190138816833496
4,tanh,one batch,0.001,10000,79.25,80.75,5.214410066604614
4,tanh,one batch,0.001,100000,85.69,87.5,52.86552953720093
4,sigmoid,one batch,1.2,100,84.62,86.25,0.017031431198120117
4,sigmoid,one batch,1.2,1000,85.62,87.25,0.17220807075500488
4,sigmoid,one batch,1.2,10000,95.19,94.0,1.7712643146514893
4,sigmoid,one batch,1.2,100000,95.12,93.75,17.842508792877197
4,sigmoid,one batch,0.6,100,79.38,81.0,0.016036033630371094
4,sigmoid,one batch,0.6,1000,85.69,87.25,0.17409801483154297
4,sigmoid,one batch,0.6,10000,90.06,90.5,1.7675440311431885
4,sigmoid,one batch,0.6,100000,95.19,94.0,17.826367139816284
4,sigmoid,one batch,0.1,100,50.62,47.5,0.01804661750793457
