Number of nodes,Activation,Batch type,Learning rate,Iterations,Train,Dev,Train time
4,sigmoid,one batch,0.1,1000,83.38,85.25,0.16719484329223633
4,sigmoid,one batch,0.1,10000,85.62,87.25,1.7535443305969238
4,sigmoid,one batch,0.1,100000,95.19,94.0,17.593302726745605
4,sigmoid,one batch,0.01,100,50.62,47.5,0.016999006271362305
4,sigmoid,one batch,0.01,1000,50.62,47.5,0.1671767234802246
4,sigmoid,one batch,0.01,10000,83.44,85.25,1.6865808963775635
4,sigmoid,one batch,0.01,100000,85.62,87.25,17.47851061820984
4,sigmoid,one batch,0.001,100,49.38,52.5,0.017033100128173828
4,sigmoid,one batch,0.001,1000,50.62,47.5,0.17221736907958984
4,sigmoid,one batch,0.001,10000,50.62,47.5,1.6808817386627197
4,sigmoid,one batch,0.001,100000,83.44,85.25,16.94208860397339
4,relu,one batch,1.2,100,85.62,87.75,0.01961803436279297
4,relu,one batch,1.2,1000,85.62,87.75,0.16266441345214844
4,relu,one batch,1.2,10000,85.62,87.75,1.5132644176483154
4,relu,one batch,1.2,100000,85.69,87.75,15.032583713531494
4,relu,one batch,0.6,100,85.62,87.5,0.020003318786621094
4,relu,one batch,0.6,1000,85.62,87.75,0.16515207290649414
4,relu,one batch,0.6,10000,85.62,87.75,1.5081977844238281
4,relu,one batch,0.6,100000,85.62,87.75,14.91856598854065
4,relu,one batch,0.1,100,78.56,75.5,0.019999980926513672
4,relu,one batch,0.1,1000,85.69,87.75,0.18775415420532227
4,relu,one batch,0.1,10000,85.62,87.75,1.6212515830993652
4,relu,one batch,0.1,100000,85.62,87.75,15.175853729248047
4,relu,one batch,0.01,100,50.62,47.5,0.021504878997802734
4,relu,one batch,0.01,1000,78.88,75.25,0.19920730590820312
4,relu,one batch,0.01,10000,85.69,87.75,1.8860938549041748
4,relu,one batch,0.01,100000,85.62,87.75,16.214977502822876
4,relu,one batch,0.001,100,50.62,47.5,0.02207350730895996
4,relu,one batch,0.001,1000,50.62,47.5,0.21716713905334473
4,relu,one batch,0.001,10000,78.81,75.0,2.10514235496521
4,relu,one batch,0.001,100000,85.69,87.75,19.04878568649292
5,tanh,one batch,1.2,100,85.62,87.5,0.06403040885925293
5,tanh,one batch,1.2,1000,86.0,87.0,0.6361570358276367
5,tanh,one batch,1.2,10000,94.81,94.0,6.435357332229614
5,tanh,one batch,1.2,100000,95.19,94.0,64.05176448822021
5,tanh,one batch,0.6,100,85.56,87.5,0.06417441368103027
5,tanh,one batch,0.6,1000,85.69,87.25,0.6316239833831787
5,tanh,one batch,0.6,10000,95.19,93.75,6.413525819778442
5,tanh,one batch,0.6,100000,95.06,93.75,64.18735551834106
5,tanh,one batch,0.1,100,78.56,79.25,0.06507134437561035
5,tanh,one batch,0.1,1000,85.69,87.5,0.6347024440765381
5,tanh,one batch,0.1,10000,85.69,87.25,6.373944997787476
5,tanh,one batch,0.1,100000,95.25,93.75,64.2039053440094
5,tanh,one batch,0.01,100,50.62,47.5,0.06461358070373535
5,tanh,one batch,0.01,1000,78.75,79.0,0.6328814029693604
5,tanh,one batch,0.01,10000,85.69,87.5,6.610088109970093
5,tanh,one batch,0.01,100000,85.62,87.25,64.93853092193604
5,tanh,one batch,0.001,100,59.0,57.25,0.0635836124420166
5,tanh,one batch,0.001,1000,50.62,47.5,0.6947917938232422
5,tanh,one batch,0.001,10000,78.75,79.25,6.6219563484191895
5,tanh,one batch,0.001,100000,85.69,87.5,65.25106263160706
5,sigmoid,one batch,1.2,100,84.44,86.25,0.024028778076171875
5,sigmoid,one batch,1.2,1000,85.69,87.25,0.2266242504119873
5,sigmoid,one batch,1.2,10000,95.12,93.75,2.207603693008423
5,sigmoid,one batch,1.2,100000,95.06,93.75,20.920254945755005
5,sigmoid,one batch,0.6,100,79.69,81.0,0.020045757293701172
5,sigmoid,one batch,0.6,1000,85.69,87.25,0.23511672019958496
5,sigmoid,one batch,0.6,10000,95.12,94.0,2.1616363525390625
5,sigmoid,one batch,0.6,100000,95.25,93.75,21.240747451782227
5,sigmoid,one batch,0.1,100,50.62,47.5,0.022001028060913086
5,sigmoid,one batch,0.1,1000,83.31,85.0,0.19855833053588867
5,sigmoid,one batch,0.1,10000,85.62,87.25,2.054272413253784
5,sigmoid,one batch,0.1,100000,95.12,94.25,20.912593126296997
5,sigmoid,one batch,0.01,100,50.62,47.5,0.02099895477294922
5,sigmoid,one batch,0.01,1000,50.62,47.5,0.23212718963623047
5,sigmoid,one batch,0.01,10000,83.38,85.5,1.9991176128387451
5,sigmoid,one batch,0.01,100000,85.62,87.25,19.89474081993103
5,sigmoid,one batch,0.001,100,49.38,52.5,0.019998788833618164
5,sigmoid,one batch,0.001,1000,50.62,47.5,0.19277501106262207
5,sigmoid,one batch,0.001,10000,50.62,47.5,1.9831466674804688
5,sigmoid,one batch,0.001,100000,83.38,85.5,19.228408336639404
5,relu,one batch,1.2,100,85.56,87.75,0.02199864387512207
5,relu,one batch,1.2,1000,85.62,87.75,0.18313121795654297
5,relu,one batch,1.2,10000,85.62,87.75,1.9923038482666016
5,relu,one batch,1.2,100000,85.62,87.75,17.345556020736694
5,relu,one batch,0.6,100,85.25,87.75,0.021032333374023438
5,relu,one batch,0.6,1000,85.56,87.75,0.18761181831359863
5,relu,one batch,0.6,10000,85.62,87.75,1.8709471225738525
5,relu,one batch,0.6,100000,85.62,87.75,16.52514362335205
5,relu,one batch,0.1,100,78.12,75.5,0.022075653076171875
5,relu,one batch,0.1,1000,85.5,87.75,0.20206236839294434
5,relu,one batch,0.1,10000,85.62,87.75,1.8246190547943115
5,relu,one batch,0.1,100000,85.62,87.75,18.62426996231079
5,relu,one batch,0.01,100,50.62,47.5,0.0240328311920166
5,relu,one batch,0.01,1000,78.5,74.75,0.2157902717590332
5,relu,one batch,0.01,10000,85.5,87.75,2.228760004043579
5,relu,one batch,0.01,100000,85.62,87.75,18.42833185195923
5,relu,one batch,0.001,100,58.5,56.5,0.031031131744384766
5,relu,one batch,0.001,1000,50.62,47.5,0.23417019844055176
5,relu,one batch,0.001,10000,78.56,74.75,2.1611387729644775
5,relu,one batch,0.001,100000,85.5,87.75,20.302996158599854
10,tanh,one batch,1.2,100,85.69,87.5,0.15407371520996094
10,tanh,one batch,1.2,1000,85.62,87.25,1.5428528785705566
10,tanh,one batch,1.2,10000,95.06,93.75,15.659131288528442
10,tanh,one batch,1.2,100000,94.81,94.0,157.66356253623962
10,tanh,one batch,0.6,100,85.56,87.5,0.17317819595336914
10,tanh,one batch,0.6,1000,85.62,87.5,1.5446984767913818
10,tanh,one batch,0.6,10000,95.19,93.5,15.891906261444092
10,tanh,one batch,0.6,100000,95.0,95.0,156.9270350933075
10,tanh,one batch,0.1,100,79.44,80.25,0.15930891036987305
10,tanh,one batch,0.1,1000,85.75,87.5,1.577310562133789
10,tanh,one batch,0.1,10000,85.56,87.25,15.570833444595337
10,tanh,one batch,0.1,100000,95.12,93.5,155.98024201393127
10,tanh,one batch,0.01,100,50.62,47.5,0.15448355674743652
10,tanh,one batch,0.01,1000,79.5,80.25,1.5434353351593018
10,tanh,one batch,0.01,10000,85.75,87.5,15.456489324569702
10,tanh,one batch,0.01,100000,85.56,87.25,156.36608719825745
10,tanh,one batch,0.001,100,50.62,47.5,0.16010451316833496
10,tanh,one batch,0.001,1000,50.62,47.5,1.5228004455566406
10,tanh,one batch,0.001,10000,79.5,80.25,15.714410305023193
10,tanh,one batch,0.001,100000,85.75,87.5,161.6168828010559
10,sigmoid,one batch,1.2,100,84.69,86.5,0.0661463737487793
10,sigmoid,one batch,1.2,1000,85.62,87.25,0.5974669456481934
10,sigmoid,one batch,1.2,10000,94.81,93.75,5.947671175003052
10,sigmoid,one batch,1.2,100000,95.06,94.25,59.75310015678406
10,sigmoid,one batch,0.6,100,80.19,82.0,0.09078192710876465
10,sigmoid,one batch,0.6,1000,85.62,87.5,0.5829923152923584
10,sigmoid,one batch,0.6,10000,85.69,87.25,6.025603771209717
10,sigmoid,one batch,0.6,100000,95.12,94.25,58.97338819503784
10,sigmoid,one batch,0.1,100,50.62,47.5,0.07312345504760742
10,sigmoid,one batch,0.1,1000,84.06,85.75,0.5370292663574219
10,sigmoid,one batch,0.1,10000,85.62,87.25,5.953420400619507
10,sigmoid,one batch,0.1,100000,85.81,87.5,57.46525025367737
10,sigmoid,one batch,0.01,100,50.62,47.5,0.07158970832824707
10,sigmoid,one batch,0.01,1000,50.62,47.5,0.529670238494873
10,sigmoid,one batch,0.01,10000,84.12,85.75,5.5998570919036865
10,sigmoid,one batch,0.01,100000,85.62,87.25,57.62382388114929
10,sigmoid,one batch,0.001,100,49.38,52.5,0.07616019248962402
10,sigmoid,one batch,0.001,1000,50.62,47.5,0.5612802505493164
10,sigmoid,one batch,0.001,10000,50.62,47.5,5.792513370513916
10,sigmoid,one batch,0.001,100000,84.12,85.75,57.35657095909119
10,relu,one batch,1.2,100,85.62,87.75,0.06740045547485352
10,relu,one batch,1.2,1000,85.62,87.75,0.5242478847503662
10,relu,one batch,1.2,10000,85.75,87.0,5.0719451904296875
10,relu,one batch,1.2,100000,85.75,87.0,49.363441467285156
10,relu,one batch,0.6,100,85.62,87.75,0.08106422424316406
10,relu,one batch,0.6,1000,85.62,87.75,0.533980131149292
10,relu,one batch,0.6,10000,85.69,87.5,4.925034046173096
10,relu,one batch,0.6,100000,85.69,87.5,50.59294152259827
10,relu,one batch,0.1,100,78.81,81.0,0.0721893310546875
10,relu,one batch,0.1,1000,85.62,87.75,0.5983858108520508
10,relu,one batch,0.1,10000,85.62,87.75,5.087468862533569
10,relu,one batch,0.1,100000,85.69,87.5,50.736669063568115
10,relu,one batch,0.01,100,50.62,47.5,0.07155299186706543
10,relu,one batch,0.01,1000,78.94,80.5,0.6838400363922119
10,relu,one batch,0.01,10000,85.62,87.75,5.786163806915283
10,relu,one batch,0.01,100000,85.62,87.75,51.78039312362671
10,relu,one batch,0.001,100,50.62,47.5,0.08730864524841309
10,relu,one batch,0.001,1000,50.62,47.5,0.6415753364562988
10,relu,one batch,0.001,10000,78.88,80.25,6.570445775985718
10,relu,one batch,0.001,100000,85.62,87.75,58.92097043991089
50,tanh,one batch,1.2,100,85.62,87.75,0.6377217769622803
50,tanh,one batch,1.2,1000,85.62,87.75,6.368746757507324
50,tanh,one batch,1.2,10000,95.0,94.25,60.457207441329956
50,tanh,one batch,1.2,100000,95.06,94.25,635.7775220870972
50,tanh,one batch,0.6,100,85.69,87.75,0.6118462085723877
50,tanh,one batch,0.6,1000,85.69,87.75,5.850732088088989
50,tanh,one batch,0.6,10000,94.56,93.75,58.17944598197937
50,tanh,one batch,0.6,100000,94.94,94.25,598.4987132549286
50,tanh,one batch,0.1,100,79.75,80.5,0.5853824615478516
50,tanh,one batch,0.1,1000,85.69,87.75,6.317509889602661
50,tanh,one batch,0.1,10000,85.62,87.75,58.83769869804382
50,tanh,one batch,0.1,100000,95.0,93.75,644.4250903129578
50,tanh,one batch,0.01,100,58.81,57.25,0.5903215408325195
50,tanh,one batch,0.01,1000,79.75,80.75,5.914695739746094
50,tanh,one batch,0.01,10000,85.69,87.75,59.21141767501831
50,tanh,one batch,0.01,100000,85.62,87.75,594.5463471412659
50,tanh,one batch,0.001,100,57.19,54.75,0.5895812511444092
50,tanh,one batch,0.001,1000,58.94,57.25,6.363506555557251
50,tanh,one batch,0.001,10000,79.75,80.75,59.713188886642456
50,tanh,one batch,0.001,100000,85.69,87.75,629.2217199802399
50,sigmoid,one batch,1.2,100,84.69,87.0,0.14252638816833496
50,sigmoid,one batch,1.2,1000,85.62,87.5,2.2319958209991455
50,sigmoid,one batch,1.2,10000,85.94,87.25,24.010051488876343
50,sigmoid,one batch,1.2,100000,95.06,93.75,191.79212141036987
50,sigmoid,one batch,0.6,100,80.75,83.0,0.19349932670593262
50,sigmoid,one batch,0.6,1000,85.62,87.5,1.8921849727630615
50,sigmoid,one batch,0.6,10000,85.56,87.25,19.444583415985107
50,sigmoid,one batch,0.6,100000,95.12,94.0,241.004784822464
50,sigmoid,one batch,0.1,100,50.62,47.5,0.22297286987304688
50,sigmoid,one batch,0.1,1000,84.5,86.25,2.2612123489379883
50,sigmoid,one batch,0.1,10000,85.62,87.5,23.772950410842896
50,sigmoid,one batch,0.1,100000,85.62,87.25,187.27787470817566
50,sigmoid,one batch,0.01,100,50.62,47.5,0.1896836757659912
50,sigmoid,one batch,0.01,1000,50.62,47.5,1.8283567428588867
50,sigmoid,one batch,0.01,10000,84.5,86.25,18.86128330230713
50,sigmoid,one batch,0.01,100000,85.62,87.5,236.79874730110168
50,sigmoid,one batch,0.001,100,49.38,52.5,0.22981667518615723
50,sigmoid,one batch,0.001,1000,50.62,47.5,2.2391068935394287
50,sigmoid,one batch,0.001,10000,50.62,47.5,23.598297595977783
50,sigmoid,one batch,0.001,100000,84.5,86.25,190.57465934753418
50,relu,one batch,1.2,100,85.69,87.75,0.20796632766723633
50,relu,one batch,1.2,1000,94.94,94.0,1.8561062812805176
50,relu,one batch,1.2,10000,95.25,93.75,21.130189418792725
50,relu,one batch,1.2,100000,95.06,94.25,210.23189210891724
50,relu,one batch,0.6,100,85.62,87.75,0.20116686820983887
50,relu,one batch,0.6,1000,89.88,90.0,1.3265862464904785
50,relu,one batch,0.6,10000,95.0,94.5,16.58770728111267
50,relu,one batch,0.6,100000,95.06,94.5,165.68761253356934
50,relu,one batch,0.1,100,79.81,80.25,0.22573137283325195
50,relu,one batch,0.1,1000,85.69,87.75,1.499283790588379
50,relu,one batch,0.1,10000,94.75,94.0,18.004060745239258
50,relu,one batch,0.1,100000,95.12,93.75,174.55761861801147
50,relu,one batch,0.01,100,50.62,47.5,0.24550533294677734
50,relu,one batch,0.01,1000,79.88,80.5,1.9210715293884277
50,relu,one batch,0.01,10000,85.69,87.75,19.966962575912476
50,relu,one batch,0.01,100000,94.75,94.0,177.8209307193756
50,relu,one batch,0.001,100,76.38,73.75,0.23175406455993652
50,relu,one batch,0.001,1000,50.62,47.5,1.9160807132720947
50,relu,one batch,0.001,10000,79.88,80.5,22.993343353271484
50,relu,one batch,0.001,100000,85.69,87.75,196.6229121685028
